gene_id,chi,beta_org,beta_adp,fk_mean,fk_var
ENSG00000000419,0.17502834467120182,0.014889693294019719,7.648292923353207e-5,58.45223571224046,438.1460195997952
ENSG00000000457,0.02995497122492716,0.005844872434132129,2.9467096111840106e-5,75.36565664981103,1630.1751213587295
ENSG00000000460,0.07726862741630264,0.005753434654974136,3.0591673701390545e-5,62.06225151818801,262.6940475072556
ENSG00000000971,0.03283333333333333,0.004907822620827105,2.5618704507498313e-5,37.06888814545682,58.970129611344646
ENSG00000001036,0.07739916550764951,0.0068983213464928255,3.566915335269957e-5,43.639041035799295,309.40563244163627
ENSG00000001084,0.020117740793201132,0.007210659782509366,3.706417061497454e-5,47.001636745971616,370.65953675277115
ENSG00000001167,0.09461852019598962,0.006425705955585034,3.25427899673776e-5,61.79502245934923,1395.2052355896853
ENSG00000001460,0.02495938561512332,0.016979173887838993,8.718054330861891e-5,46.61819390739316,1575.3537533929707
ENSG00000001461,0.0801068090787717,0.03310198722263293,1.7731826076136642e-4,45.590063680019725,339.67610470662476
ENSG00000001497,0.08382382788715242,0.04735809485149854,2.505023812957601e-4,66.4379468879637,1287.7070277079802
ENSG00000001617,0.011570038355469617,0.0134535329714763,6.817067210682123e-5,91.30256042831206,1291.5378068189584
ENSG00000001629,0.055155555555555555,0.023520492774224116,1.2091553287462197e-4,63.44971048179589,1038.0939833631537
ENSG00000002016,0.059586588082682385,0.04381366770785469,2.3046685617615574e-4,115.06194244251205,2551.969030874452
ENSG00000002330,0.06497931370163057,0.09555781426710377,5.604797806244923e-4,45.361692273354464,813.630456126321
ENSG00000002549,0.07142346464574248,0.013033478949953006,6.834004459409434e-5,51.172608866225964,663.4971392871789
ENSG00000002834,0.20736812159635862,0.04311187559175855,2.2831295604103165e-4,50.70528389467879,1148.3958448699727
ENSG00000002919,0.03346638010439054,0.017118352994573167,8.740159385275825e-5,75.87266531789953,604.7836159965982
ENSG00000003056,0.09503462501841756,0.01576030265645399,8.577796956652941e-5,50.719122650890526,363.79473377303293
ENSG00000003096,0.004255555555555556,0.028370370370370372,1.460032328832529e-4,73.37943039458017,2012.7732047002419
ENSG00000003147,0.011733333333333333,0.0024393624393624397,1.2314506502388926e-5,56.98662218444536,1239.4558706669222
