gene_id,chi,beta_org,beta_adp,fk_mean,fk_var
ENSG00000000419,0.13520408163265307,0.01950996848956033,1.0118741414541789e-4,73.3966590502721,252.15700641003878
ENSG00000000457,0.05769462303450601,0.02369389036324682,1.2172472416596275e-4,112.11442658598233,1719.5636792876958
ENSG00000000460,0.06492404011106591,0.01393219744872659,7.071102922362316e-5,86.69805817040184,1321.5983044613731
ENSG00000000971,0.03864444444444445,0.01683853788428952,9.18336374665971e-5,38.17599276220786,65.78352888595282
ENSG00000001036,0.12009735744089013,0.024942337993954334,1.2935346462813262e-4,66.1808709309158,1599.3990765652597
ENSG00000001084,0.04116501416430595,0.013767563265654164,7.12741909735787e-5,63.513214926240266,953.243756580292
ENSG00000001167,0.08016634413472228,0.014457411025197885,7.349284954686763e-5,105.21898167708633,2519.8821648023604
ENSG00000001460,0.03313764584256387,0.02309243612722221,1.1867874915561077e-4,76.3771003522322,2679.763790730115
ENSG00000001461,0.06933445507251677,0.09904922153216683,5.612821116704344e-4,71.42984779778448,931.1201643721352
ENSG00000001497,0.1391313172315811,0.10344335853649152,5.774327791865435e-4,105.12332763301049,1676.853395370008
ENSG00000001617,0.028719054109741023,0.05221646201771095,2.745423525537007e-4,115.41338948834964,1392.7443329644302
ENSG00000001629,0.05584444444444445,0.04183104452767374,2.1897879681074406e-4,73.25023163263596,1659.6270577335317
ENSG00000002016,0.038464792307041536,0.03273599345280131,1.6993535208551823e-4,115.49044611615268,2414.5149076140606
ENSG00000002330,0.042670560558124446,0.06564701624326838,3.5338113287378104e-4,101.12478137361607,2175.0197496284036
ENSG00000002549,0.08011010223779223,0.0192572361148539,9.837837666398971e-5,65.35452583929099,1499.993583467619
ENSG00000002834,0.18889701698772657,0.03308178931483828,1.7284799231375868e-4,81.23778126707126,1734.1837722875225
ENSG00000002919,0.04052809333742708,0.031295824970986166,1.6398550171934634e-4,95.44201950814929,965.4539054794423
ENSG00000003056,0.07897451009282452,0.034040737108976094,1.7719177442825144e-4,82.0123178373351,1913.4543915995291
ENSG00000003096,0.004333333333333333,0.04126984126984127,2.151240035556391e-4,78.16588552225964,2321.8462848747804
ENSG00000003147,0.028744444444444444,0.032116697703289884,1.670123759328633e-4,95.74665102668264,3369.9739296960124
ENSG00000003249,0.06684235745088644,0.5347388596070916,0.006125598370340853,80.25934878035018,1981.8696890307656
ENSG00000003393,0.02966649183180033,0.02811989747090079,1.4519770114409714e-4,101.16984778878401,2378.2865583378352
ENSG00000003400,0.07628861268506672,0.12013954753553814,7.057278280995358e-4,64.55450095138517,335.7630064883433
ENSG00000003402,0.20781914522763717,0.5007690246449089,0.005241875402906488,109.63530222986965,1872.4407702632034
ENSG00000003436,0.1409335522415287,0.2905846437969664,0.0020264619823162056,94.65005960174548,2416.1285059786514
ENSG00000003509,0.052243073244268856,0.03471300547791951,1.804212355866279e-4,99.65635343807632,904.0500705643208
ENSG00000004142,0.13196691837468535,0.019874535899802013,1.017383031406063e-4,75.48685048074606,1337.831806500597
