"geneId","chi","betaOrg","betaAdp","fkMean","fkVar","phi","omegaZeta","betaZeta","alphaZeta","totalGbRc","gbLength","likelihood"
"ENSG00000000419",0.158966364323507,0.0137335951899358,0.000115319974390308,58.098614224493,428.686493238788,0.999,0.230639948780617,0.230639948780616,230.639948780616,3365,21168,9015.07794340271
"ENSG00000000457",0.0285101976931783,0.00577714238970178,2.88029343524156e-05,75.6236027520577,1607.90817003349,0.546388596290182,0.0413646658125622,0.0576058687048311,0.0911896514820068,1184,41529,4333.91669383404
"ENSG00000000460",0.0716799603841324,0.00539962036791958,5.19992467021157e-05,62.1511803792122,212.530537582933,0.999,0.103998493404232,0.103998493404231,103.998493404231,4053,56543,12854.5524246438
"ENSG00000000971",0.0309,0.00468536770280516,2.45211261436084e-05,37.149204962624,59.1232251490451,0.831744293720824,0.0448319645960927,0.0490422522872168,0.266451376821098,2781,90000,7813.60516522689
"ENSG00000001036",0.0714881780250348,0.00651966967852574,5.19405885159441e-05,43.3918277116825,302.895120085151,0.996644474762218,0.103720241626457,0.103881177031888,30.9102850601738,1028,14380,10550.0661847834
"ENSG00000001084",0.0192546033994334,0.00695112036080629,3.47722720303857e-05,48.0037775953962,435.189376338576,0.240588948600653,0.0279359772788093,0.0695445440607714,0.0367863717907876,870,45184,2664.59876087494
"ENSG00000001167",0.0874541936015152,0.00600028772566142,6.34424484032843e-05,61.3752020596317,1365.44636625082,0.999,0.126884896806569,0.126884896806569,126.884896806568,2124,24287,12101.428825692
"ENSG00000001460",0.0239624870772412,0.0185038510248967,7.2825029436738e-05,59.144930045701,1964.19222613698,0.127680677214851,0.0347665169023044,0.145650058873476,0.0398552640004598,1298,54168,1119.39201495603
"ENSG00000001461",0.0739250507526016,0.0313906797250962,0.000182142700410289,40.7601272700754,112.160646783401,0.163602646661429,0.107255833595631,0.364285400820579,0.128235500946419,4042,54677,1550.47504895859
"ENSG00000001497",0.0770245585549016,0.0453085638558244,0.000238377205997265,67.0552590781136,1308.48958073695,0.125018685974421,0.11175282466547,0.476754411994529,0.127720241420153,1518,19708,761.715359418829
"ENSG00000001617",0.011189653532824,0.013900190724005,7.00169009734611e-05,92.1535222771207,1293.79075130683,0.0571804451195261,0.0162347621691298,0.140033801946922,0.0172193736172432,353,31547,566.209111219645
"ENSG00000001629",0.0517111111111111,0.0227802251590798,0.000108172124536548,68.3011731441981,1565.62339694426,0.199823181393644,0.0750262363287363,0.216344249073096,0.0937620718123367,4654,90000,1468.30208852355
"ENSG00000002016",0.0552437889512422,0.0440189553396352,0.000222329254669449,112.946561394388,2600.77503905265,0.0927092797957871,0.0801517019552139,0.444658509338898,0.0883418072844097,1959,35461,523.342156687327
"ENSG00000002330",0.0600308266407074,0.0960493226251318,0.000199689182878672,80.3883508043451,3133.4289246633,0.115038946834118,0.0870970839686205,0.399378365757343,0.098419115346418,740,12327,649.774108186351
"ENSG00000002549",0.0664903124329735,0.0124049090360025,6.56020002402702e-05,49.3633196337343,529.907274112425,0.567551918473517,0.0964689751772884,0.13120400048054,0.223076432289319,1860,27974,4151.58048362016
"ENSG00000002834",0.1882874095749,0.0401465692057357,0.000210495393755379,50.9042980683341,1111.70168356847,0.466999284690891,0.273181051131131,0.420990787510758,0.512534117281066,9266,49212,2331.81866278964
"ENSG00000002919",0.0316241940435984,0.0166882290467538,6.77485320566066e-05,82.8145709241285,826.271129294922,0.194009877981299,0.0458826779204715,0.135497064113213,0.0569270970785011,412,13028,1780.63671118416
"ENSG00000003056",0.0885516428466185,0.0148826290498519,8.01720875097058e-05,50.7547227054213,361.384989278014,0.654724785535841,0.128477155890791,0.160344175019412,0.372100719972553,601,6787,4504.7837004125
"ENSG00000003096",0.0042,0.035,0.000173496478082129,82.0105724864565,2164.03847938239,0.0081448038555683,0.00609366509073105,0.346992956164259,0.00614370435767088,378,90000,55.7761917612397
"ENSG00000003147",0.0113222222222222,0.00243488649940263,1.15134728657193e-05,62.4069673478568,1699.05824380804,0.540745667025508,0.0164271024535845,0.0230269457314386,0.0357690745064716,1019,90000,5217.11992560062
"ENSG00000003249",0.0198850023957834,0.17291306431116,0.000289878939099679,140.617662314204,3439.10501964563,0.0235353621020433,0.0288506059353068,0.579757878199357,0.0295459813039556,249,12522,122.830176875338
"ENSG00000003393",0.0398495567296499,0.0170661913189079,8.73177981109916e-05,75.1899077603776,1987.18427911488,0.188686885301245,0.057816631601089,0.174635596221983,0.0712630309477453,3115,78169,1447.47746363986
"ENSG00000003400",0.0894260647048072,0.0487335502478513,0.000263222487591756,63.1363940295718,260.919669078351,0.13252600883906,0.129745830641224,0.526444975183512,0.149567401401378,3914,43768,1029.22699920282
"ENSG00000003402",0.163930140138046,0.159931844037118,0.000812768091427564,90.781939716142,2360.31349334296,0.073560979354178,0.237841755304253,1.62553618285513,0.256726832531787,9405,57372,170.887498954083
"ENSG00000003436",0.0918274273726456,0.0565091860754742,0.000294389671674854,74.2136004680982,2594.79861472635,0.120026172226476,0.133229902036269,0.588779343349708,0.151402118825923,8054,87708,578.79070646202
"ENSG00000003509",0.0497478816863336,0.0192821246846254,9.84957703857083e-05,66.35390483678,1113.23232176152,0.214039885934744,0.0721778404690071,0.196991540771417,0.091833973731413,957,19237,1674.65583620287
"ENSG00000004142",0.093970993647369,0.0197004179554233,0.000101011394067905,52.6843249913979,1198.18524745581,0.495812685732658,0.136339943697686,0.20202278813581,0.270415260042407,784,8343,3074.59016062037
"ENSG00000004399",0.0337551020408163,0.0775979357260145,0.000426503404373038,43.6575202164874,283.276048421139,0.0272825219320173,0.0489743540333778,0.853006808746076,0.0503479737309244,1654,49000,196.094359263196
"ENSG00000004455",0.0954945506597316,0.100520579641823,0.000559409645994078,56.1808493368359,277.209725846663,0.0613934349016063,0.138550430883394,1.11881929198816,0.147612893447927,6738,70559,382.0199902613
"ENSG00000004478",1.60979622832553,0.128835232358986,0.00116992166045583,86.8247885199334,3650.01553279969,0.996036875356873,2.33560930469947,2.33984332091166,589.335313677332,12719,7901,1265.55530369549
