"geneId","chi","betaOrg","betaAdp","fkMean","fkVar","totalGbRc","gbLength","likelihood"
"ENSG00000000419",0.158966364323507,0.0137335951899358,7.02887144547079e-05,58.2052682436099,434.96236145903,3365,21168,9293.20644280112
"ENSG00000000457",0.0285101976931783,0.00577714238970178,2.87933802476216e-05,75.623731180867,1607.92012243096,1184,41529,4333.92716311241
"ENSG00000000460",0.0716799603841324,0.00539962036791958,2.87520733199468e-05,62.1676141638457,235.15867275253,4053,56543,13232.3688684927
"ENSG00000000971",0.0309,0.00468536770280516,2.43730849353254e-05,37.1493513063908,59.1274614418617,2781,90000,7813.68283707396
"ENSG00000001036",0.0714881780250348,0.00651966967852574,3.33707279359752e-05,43.5807760471716,315.738417733251,1028,14380,10752.1071646313
"ENSG00000001084",0.0192546033994334,0.00695112036080629,3.48287429246416e-05,48.0013448046649,435.016728709636,870,45184,2664.58384822911
"ENSG00000001167",0.0874541936015152,0.00600028772566142,3.01105381457402e-05,62.0420550186859,1434.41690727676,2124,24287,12811.5768165865
"ENSG00000001460",0.0239624870772412,0.0185038510248967,7.30488491145843e-05,59.1428519642428,1963.98801452733,1298,54168,1119.33616486342
"ENSG00000001461",0.0739250507526016,0.0313906797250962,0.000182584718855728,40.7598440004907,112.139803399218,4042,54677,1550.4408608299
"ENSG00000001497",0.0770245585549016,0.0453085638558244,0.000239147052334996,67.0505214888206,1308.11376065226,1518,19708,761.60101063482
"ENSG00000001617",0.011189653532824,0.013900190724005,7.04682983716533e-05,92.1524304297066,1293.62739319682,353,31547,566.160034858218
"ENSG00000001629",0.0517111111111111,0.0227802251590798,0.00010838870731996,68.299007960487,1565.38279768047,4654,90000,1468.24037759796
"ENSG00000002016",0.0552437889512422,0.0440189553396352,0.000223277794954835,112.94732984477,2600.47256762134,1959,35461,523.198271913482
"ENSG00000002330",0.0600308266407074,0.0960493226251318,0.000200383770983363,80.3851192236269,3133.14045907629,740,12327,649.646443497007
"ENSG00000002549",0.0664903124329735,0.0124049090360025,6.55684622432867e-05,49.3640798941319,529.964853088713,1860,27974,4151.59759280693
"ENSG00000002834",0.1882874095749,0.0401465692057357,0.00021054076149321,50.9040894002578,1111.68538595939,9266,49212,2331.80376359556
"ENSG00000002919",0.0316241940435984,0.0166882290467538,6.78881931023907e-05,82.811732662918,826.005775435207,412,13028,1780.60531630875
"ENSG00000003056",0.0885516428466185,0.0148826290498519,8.00597801697462e-05,50.7548853800413,361.397362712689,601,6787,4504.83870805239
"ENSG00000003096",0.0042,0.035,0.000181245810416792,81.9958413448054,2163.05916933925,378,90000,55.6899850585881
"ENSG00000003147",0.0113222222222222,0.00243488649940263,1.15101549302357e-05,62.4071017294202,1699.07265088938,1019,90000,5217.12592344525
"ENSG00000003249",0.0198850023957834,0.17291306431116,0.000294476983579996,140.639624754678,3437.6086584216,249,12522,122.669361052462
"ENSG00000003393",0.0398495567296499,0.0170661913189079,8.75032217643766e-05,75.1868832295472,1986.89075467816,3115,78169,1447.4119011769
"ENSG00000003400",0.0894260647048072,0.0487335502478513,0.00026401117685332,63.1371249871503,260.864839697473,3914,43768,1029.15914674871
"ENSG00000003402",0.163930140138046,0.159931844037118,0.000817426287016381,90.7732808374705,2359.18639008823,9405,57372,170.672406331998
"ENSG00000003436",0.0918274273726456,0.0565091860754742,0.000295385565781203,74.2123069889889,2594.63291467283,8054,87708,578.639551677913
"ENSG00000003509",0.0497478816863336,0.0192821246846254,9.86782555547608e-05,66.3524595223526,1113.11218804632,957,19237,1674.59799173317
"ENSG00000004142",0.093970993647369,0.0197004179554233,0.000101014140597527,52.6843427113353,1198.18694295732,784,8343,3074.5903135895
"ENSG00000004399",0.0337551020408163,0.0775979357260145,0.00043219801250423,43.6571508320363,283.134486809656,1654,49000,195.992065157846
"ENSG00000004455",0.0954945506597316,0.100520579641823,0.000562894401224056,56.181702803975,277.12641205623,6738,70559,381.896611781685
"ENSG00000004478",1.60979622832553,0.128835232358986,0.000753061343492523,86.7236012308787,3707.34798898133,12719,7901,1663.77025765967
"ENSG00000004487",0.0809737597043712,0.0082795255321443,4.17270161194881e-05,76.1226656659567,1699.41204053857,4996,61699,7726.41863032
"ENSG00000004660",0.0349525478654806,0.0537731505622779,0.000288293984341297,116.766489866257,2985.94029422576,1057,30241,219.951411496997
"ENSG00000004700",0.0302106797402942,0.00711676790112937,3.67619565671269e-05,53.1123352259723,573.776258993777,912,30188,3804.95963610816
"ENSG00000004766",0.0347333333333333,0.0614749262536873,0.000425765461451712,21.8409264511414,145.934980066076,3126,90000,235.766709692347
"ENSG00000004777",0.0227928179365522,0.0414414871573677,0.000187171246632769,65.478682246726,1343.43922978274,245,10749,316.842001243374
"ENSG00000004779",0.174177927048348,0.0342532796555257,0.000205345610401587,49.6992418862249,73.3284661840385,2230,12803,3328.57987317097
"ENSG00000004864",0.0381222222222222,0.035298353909465,0.000173436416860008,95.6991914660684,1601.44453930854,3431,90000,563.676153608276
"ENSG00000004866",0.0702666666666667,0.127757575757576,0.000146611423656176,127.400124662572,2767.99847214904,6324,90000,1217.50272774564
"ENSG00000004897",0.137476104964375,0.0205494925208333,0.000103104811392319,75.273175106307,2013.42558630448,9493,69052,4011.67038655065
"ENSG00000004939",0.020002319109462,0.16668599257885,0.00107693377566228,33.4661285745783,249.048877124032,345,17248,31.0792442480096
"ENSG00000004961",0.0933347736847791,0.0123214222686177,6.37456180724197e-05,52.9142439292772,547.046952839397,864,9257,6005.94279476952
"ENSG00000004975",0.200275608635737,0.0652363546044747,0.000353373033951742,72.3494424942479,2153.69237565833,1308,6531,995.791863706462
"ENSG00000005007",0.248608644168147,0.0222867453310755,0.000117941498470516,30.0646855830395,425.323970201357,8398,33780,7754.3256800268
"ENSG00000005020",0.0168444444444444,0.00501322751322751,2.53296064004975e-05,40.0442195490956,706.747525100921,1516,90000,3295.20691797026
"ENSG00000005059",0.00625555555555556,0.00456609894566099,2.30383205856206e-05,67.1002776432034,1098.29126019621,563,90000,1298.21623746162
"ENSG00000005156",0.0460772570744123,0.0460772570744123,0.000210581593485135,75.4791490908699,1842.05142392352,1231,26716,509.868194859184
"ENSG00000005175",0.0619213374061708,0.011008237761097,5.70239448003611e-05,18.6387370083624,245.421559652723,2615,42231,5139.79643284225
"ENSG00000005187",0.0445767621499839,0.0231567595584332,0.000123022303753711,64.9001578258381,689.069762560292,1385,31070,1204.26465765897
"ENSG00000005189",0.060858629447883,0.0248910549889092,0.000125632442846122,84.385446467579,2278.16428077894,2468,40553,1330.00181768944
"ENSG00000005194",0.0547583308315821,0.0340113856096783,0.000182646733685169,19.3523556552975,373.5543602881,912,16655,1021.49760903151
