"geneId","chi1","chi2","lfc","tStats","p","padj"
"ENSG00000000419",0.123393801965231,0.158966364323507,0.365451607951249,47.5588508946749,1.79395367057527e-22,3.79526533519545e-22
"ENSG00000000457",0.0543475643526211,0.0285101976931783,-0.930737337562886,170.118212720458,5.66736780955673e-76,2.54398325976471e-75
"ENSG00000000460",0.0607325398369383,0.0716799603841324,0.239100136044707,25.6176512204884,8.19318742371507e-13,1.39180255707295e-12
"ENSG00000000971",0.0362555555555556,0.0309,-0.230595242745177,19.2398151279137,5.53281549118966e-10,8.75121505348601e-10
"ENSG00000001036",0.108414464534075,0.0714881780250348,-0.600780663503907,54.8850011579283,1.10046181983421e-25,2.47680972615347e-25
"ENSG00000001084",0.0390625,0.0192546033994334,-1.02058087742245,155.063606172875,2.04886034435187e-69,8.48587261178725e-69
"ENSG00000001167",0.0749372092065714,0.0874541936015152,0.222845315718095,11.7276531842381,1.27849595116365e-06,1.81817964028317e-06
"ENSG00000001460",0.0316053758676709,0.0239624870772412,-0.399392318402008,28.5615504012488,4.09368828110236e-14,7.18810868414717e-14
"ENSG00000001461",0.0649084624247856,0.0739250507526016,0.187656747318791,16.020296940408,1.50984370118064e-08,2.29882597256378e-08
"ENSG00000001497",0.127562411203572,0.0770245585549016,-0.727812859005041,124.300539600991,5.24107513773316e-56,1.85761088362091e-55
"ENSG00000001617",0.0270707198782769,0.011189653532824,-1.27456788634931,107.189992664026,1.52167846808606e-48,4.91623903943365e-48
"ENSG00000001629",0.0522777777777778,0.0517111111111111,-0.0157235122105505,0.138957841269363,0.598070617722602,0.619025816488613
"ENSG00000002016",0.0365471926905615,0.0552437889512422,0.596051679382962,67.9969405923248,2.00146264094843e-31,4.97732971835985e-31
"ENSG00000002330",0.0397501419647927,0.0600308266407074,0.594743521513741,25.5843900259519,8.47559289243559e-13,1.43886306551278e-12
"ENSG00000002549",0.0749624651462072,0.0664903124329735,-0.173024240101199,7.1016717903853,0.000164078704191869,0.000213743902104681
"ENSG00000002834",0.171868649922783,0.1882874095749,0.13163012200447,18.4238976732204,1.27720434954712e-09,2.00201657210518e-09
"ENSG00000002919",0.0385323917715689,0.0316241940435984,-0.285043026767553,4.43826073994988,0.00288861402708096,0.00353811184567005
"ENSG00000003056",0.0716074848975984,0.0885516428466185,0.306408677105404,6.09465583920556,0.000480641152330482,0.000612230763946643
"ENSG00000003147",0.0275777777777778,0.0113222222222222,-1.28434906396454,315.26290375966,3.84116625384393e-139,2.99939464039222e-138
"ENSG00000003249",0.0621306500559016,0.0198850023957834,-1.64362441291811,143.015226868935,3.64338246396962e-64,1.43855420628972e-63
"ENSG00000003393",0.028208113190651,0.0398495567296499,0.498453507466481,78.2129930856638,6.83252100696631e-36,1.82268613183846e-35
